,Open,High,Low,Close,Volume,Date
2014-04-28 13:30:00,59.6,60.3,59.1,59.9,280000.0,2014-04-28 13:30:00
2014-04-29 13:30:00,60.0,61.3,60.0,60.3,190000.0,2014-04-29 13:30:00
2014-04-30 13:30:00,60.1,60.5,59.7,59.7,194000.0,2014-04-30 13:30:00
2014-05-02 13:30:00,59.6,60.5,59.6,60.0,164000.0,2014-05-02 13:30:00
2014-05-05 13:30:00,60.3,60.9,60.1,60.3,193000.0,2014-05-05 13:30:00
2014-05-06 13:30:00,60.4,60.7,59.7,60.3,301000.0,2014-05-06 13:30:00
2014-05-07 13:30:00,60.0,60.6,60.0,60.0,152000.0,2014-05-07 13:30:00
2014-05-08 13:30:00,60.0,63.9,60.0,61.8,334000.0,2014-05-08 13:30:00
2014-05-09 13:30:00,61.8,62.1,60.7,60.9,184000.0,2014-05-09 13:30:00
2014-05-12 13:30:00,60.1,60.3,59.5,59.7,266000.0,2014-05-12 13:30:00
2014-05-13 13:30:00,59.7,60.5,59.1,59.4,121000.0,2014-05-13 13:30:00
2014-05-14 13:30:00,59.3,59.8,58.0,58.7,209000.0,2014-05-14 13:30:00
2014-05-15 13:30:00,58.7,59.4,58.5,59.0,106000.0,2014-05-15 13:30:00
2014-05-16 13:30:00,58.5,59.2,58.3,59.1,63000.0,2014-05-16 13:30:00
2014-05-19 13:30:00,58.5,60.1,58.5,59.8,76000.0,2014-05-19 13:30:00
2014-05-20 13:30:00,60.5,60.5,59.2,59.2,117000.0,2014-05-20 13:30:00
2014-05-21 13:30:00,59.0,59.5,58.9,59.4,139000.0,2014-05-21 13:30:00
2014-05-22 13:30:00,60.0,60.1,59.6,60.0,101000.0,2014-05-22 13:30:00
2014-05-23 13:30:00,60.5,60.5,59.4,59.4,147000.0,2014-05-23 13:30:00
2014-05-26 13:30:00,59.5,60.9,59.5,60.1,225000.0,2014-05-26 13:30:00
2014-05-27 13:30:00,59.8,60.8,59.8,60.4,205000.0,2014-05-27 13:30:00
2014-05-28 13:30:00,60.9,60.9,60.1,60.2,150000.0,2014-05-28 13:30:00
2014-05-29 13:30:00,60.7,60.7,60.0,60.1,160000.0,2014-05-29 13:30:00
2014-05-30 13:30:00,60.7,60.7,59.7,59.7,170000.0,2014-05-30 13:30:00
2014-06-03 13:30:00,59.5,60.6,59.5,59.5,146000.0,2014-06-03 13:30:00
2014-06-04 13:30:00,59.5,60.2,59.5,60.0,126000.0,2014-06-04 13:30:00
2014-06-05 13:30:00,60.0,64.2,60.0,62.9,1028000.0,2014-06-05 13:30:00
2014-06-06 13:30:00,64.0,64.0,61.6,61.6,378000.0,2014-06-06 13:30:00
2014-06-09 13:30:00,61.9,62.9,61.9,62.3,255000.0,2014-06-09 13:30:00
2014-06-10 13:30:00,63.3,63.3,61.9,62.1,197000.0,2014-06-10 13:30:00
2014-06-11 13:30:00,63.0,64.0,62.1,62.5,433000.0,2014-06-11 13:30:00
2014-06-12 13:30:00,63.0,63.8,62.4,62.5,398000.0,2014-06-12 13:30:00
2014-06-13 13:30:00,62.5,63.5,62.5,62.6,273000.0,2014-06-13 13:30:00
2014-06-16 13:30:00,63.0,63.2,62.1,62.1,202000.0,2014-06-16 13:30:00
2014-06-17 13:30:00,62.5,62.9,61.8,61.8,205000.0,2014-06-17 13:30:00
2014-06-18 13:30:00,62.0,62.9,61.5,62.4,283000.0,2014-06-18 13:30:00
2014-06-19 13:30:00,62.5,64.8,62.4,64.0,1439000.0,2014-06-19 13:30:00
2014-06-20 13:30:00,65.8,68.4,65.8,68.4,4356000.0,2014-06-20 13:30:00
2014-06-23 13:30:00,69.9,70.9,67.2,67.5,4194000.0,2014-06-23 13:30:00
2014-06-24 13:30:00,68.5,72.2,68.5,72.2,5373000.0,2014-06-24 13:30:00
2014-06-25 13:30:00,72.6,73.4,71.4,72.0,2910000.0,2014-06-25 13:30:00
2014-06-26 13:30:00,72.5,74.0,71.5,72.0,1771000.0,2014-06-26 13:30:00
2014-06-27 13:30:00,72.5,75.9,71.1,71.1,2646000.0,2014-06-27 13:30:00
2014-06-30 13:30:00,71.1,71.8,70.0,70.0,1567000.0,2014-06-30 13:30:00
2014-07-01 13:30:00,70.9,72.6,70.5,71.9,965000.0,2014-07-01 13:30:00
2014-07-02 13:30:00,72.6,72.7,69.4,69.9,1125000.0,2014-07-02 13:30:00
2014-07-03 13:30:00,69.9,71.7,69.9,70.4,528000.0,2014-07-03 13:30:00
2014-07-04 13:30:00,70.5,72.0,70.1,70.4,684000.0,2014-07-04 13:30:00
2014-07-07 13:30:00,70.4,71.2,68.0,68.7,651000.0,2014-07-07 13:30:00
2014-07-08 13:30:00,69.0,69.5,68.3,69.0,415000.0,2014-07-08 13:30:00
2014-07-09 13:30:00,68.8,69.0,66.9,67.7,639000.0,2014-07-09 13:30:00
